Name,Handle,Media URL,Retweets,Likes,Comments,Views,Tweet URL,Profile Link,Post Body,Date,Timestamp
Clarita,@clarita9944,,,,,10,https://x.com/clarita9944/status/1770159573707506162,https://x.com/clarita9944,Acudí al servicio de defensa al consumidor y me pareció un desastre. Están de lado de la empresas abusadoras!,Mar 19,2024-03-19T18:45:05.000Z
Pascual,@p_pascu,,,,1,36,https://x.com/p_pascu/status/1769817079719370776,https://x.com/p_pascu,@VivamosVL no hay siquiatra en Vicente López? La q estaba en la maternidad de santa rosa dejo a un vecino sin atender y no está más. Pueden solucionar esto?,Mar 18,2024-03-18T20:04:08.000Z
Cintita Gta v,@cintita_v91280,,,,,8,https://x.com/cintita_v91280/status/1769779386557837777,https://x.com/cintita_v91280,Ya lo hice ! Sin luz siguen robando,Mar 18,2024-03-18T17:34:21.000Z
Dɪᴇɢᴏ Lᴜɪs Bᴀʏᴀʀᴅɪ,@DiegoBayardi,,,,,49,https://x.com/DiegoBayardi/status/1769742167658881393,https://x.com/DiegoBayardi,"Hola, no dan pelota la delegación carapachay, mis vecinos fueron y yo me enoje y te digo por acá la dirección es Cerrito 3300 al 3400 por favor es urgente
Acá me dan pelota. Por favor cuando van?",Mar 18,2024-03-18T15:06:27.000Z
Pascual,@p_pascu,,,,,7,https://x.com/p_pascu/status/1769674435785523318,https://x.com/p_pascu,@VivamosVL desastre no juntan la basura. No fumigan. Pueden hacer algo?,Mar 18,2024-03-18T10:37:19.000Z
Encantado,@encantado1234,,,,1,28,https://x.com/encantado1234/status/1769250145399394668,https://x.com/encantado1234,@VivamosVL 3.27 am y siguen desarmando con caniones los escenarios montados en la cancha de @caplatense @soledadmartinez,Mar 17,2024-03-17T06:31:20.000Z
Pato -,@patocata,,,,1,33,https://x.com/patocata/status/1768716942628556823,https://x.com/patocata,"Hola! Van a hacer alguna en la zona del bajo, en el río?",Mar 15,2024-03-15T19:12:34.000Z
risaspillas,@risaspillas1,https://pbs.twimg.com/ext_tw_video_thumb/1768663589416525824/pu/img/aOLK4T-G2LjLdK0J.jpg,,1,1,45,https://x.com/risaspillas1/status/1768663854672724342,https://x.com/risaspillas1,Buen día. Donde se piede denunciar al bestia éste frenado en medio de av maipu al 2200 para girar? Casi provoca varios accidentes,Mar 15,2024-03-15T15:41:37.000Z
Luz,@Luz08041923,,,1,1,5,https://x.com/Luz08041923/status/1768276448047960277,https://x.com/Luz08041923,Sole. hay que arreglar y limpiar veredas rotas por todo el municipio. Mucha basura sobre las mismas… Cortar el pasto de los espacios públicos ( arboles de las paradas de colectivo por ej) Además de mantener el municipio limpio y cuidado es necesario evitar mosquitos,Mar 14,2024-03-14T14:02:12.000Z
Ona Duarte,@duarte_ona,"https://pbs.twimg.com/media/GIZ3QDxWEAAAr5_?format=jpg&name=900x900, https://pbs.twimg.com/media/GIZ3QDxWEAAAr5_?format=jpg&name=900x900",,1,,3,https://x.com/duarte_ona/status/1767711403375284348,https://x.com/duarte_ona,"Hola, veo que no han respondido sobre esto:",Mar 12,2024-03-13T00:36:55.000Z
